parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
σ_w_p[1],0.6449999727472984,0.5163774845391733,0.02126665636445826,768.7401868310443,753.372380447973,1.0043686977467627,0.00048808288927654686
σ_w_p[2],0.4053377541735033,0.4071436733486492,0.017892224121300367,697.1756270750326,581.7242340677213,1.0043349166120488,0.00044264564312514307
ρ_w_p[1,1],1.0,0.0,NaN,NaN,NaN,NaN,NaN
ρ_w_p[2,1],-0.0791747809187448,0.4179062242987347,0.011258279254739767,1356.9941365329532,991.3016631215785,1.002563433312966,0.0008615727787311637
ρ_w_p[1,2],-0.0791747809187448,0.4179062242987347,0.011258279254739767,1356.9941365329532,991.3016631215785,1.002563433312966,0.0008615727787311637
ρ_w_p[2,2],1.0,8.459437429124437e-17,2.76279267522444e-18,928.499307879584,NaN,0.9999461999110163,0.0005895159803591007
ab_w_p[1,1],0.38983880305212115,0.3685738680595678,0.014276379055059343,680.6853637300616,618.7307690167111,1.0050991323575442,0.0004321757658945495
ab_w_p[2,1],-0.05514469612349857,0.23523704570944065,0.008680348041541379,998.3081147219472,654.5086064311156,1.0071195848884675,0.000633838476729461
ab_w_p[1,2],0.05768035004056281,0.3687359926589212,0.014046325449123018,698.4188463779284,551.2226118967784,1.0058403804670621,0.0004434349788197724
ab_w_p[2,2],0.15427794532850853,0.24161576827400522,0.008695901823413659,995.0395042598874,673.1772546962071,1.005994496540168,0.0006317631945137385
σ_p_p[1],0.5152923249425025,0.0873716431195675,0.0029638063800612917,937.5171421471654,774.4370902094522,0.998594747209936,0.0005952415176469095
